model,task,index,truth,neutral_prompt,yesno_prompt,agree_prompt,negated_agree_prompt,disagree_prompt
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,0,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,1,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,2,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,3,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,4,1,1,1,1,1,1
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,5,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,6,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,7,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,8,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,9,1,1,0,0,0,1
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,10,1,1,0,0,1,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,11,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,12,1,1,0,0,0,1
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,13,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,14,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,15,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,16,1,1,0,0,0,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,17,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,18,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,19,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,20,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,21,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,22,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,23,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,24,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,25,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,26,1,1,1,1,1,1
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,27,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,28,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,29,1,1,0,1,1,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,30,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,31,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,32,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,33,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,34,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,35,1,1,1,1,1,1
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,36,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,37,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,38,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,39,1,1,0,1,1,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,40,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,41,0,1,0,0,0,1
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,42,0,1,0,0,0,1
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,43,0,1,0,0,0,1
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,44,0,1,0,0,1,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,45,0,1,0,0,1,0
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,46,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,47,0,1,0,0,1,1
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,48,0,1,0,0,0,1
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,49,0,1,0,0,0,1
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,50,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,51,0,1,0,0,0,1
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,52,0,1,0,0,0,1
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,53,0,1,0,0,0,1
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,54,0,1,0,0,0,1
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,55,0,1,0,0,0,1
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,56,0,1,0,0,0,1
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,57,0,1,0,0,0,1
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,58,0,1,0,0,0,1
gpt-4o-2024-08-06,contract_nli_confidentiality_of_agreement,59,0,1,0,0,0,1
