model,task,index,truth,neutral_prompt,yesno_prompt,agree_prompt,negated_agree_prompt,disagree_prompt
gpt-4o-2024-08-06,contract_nli_explicit_identification,0,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_explicit_identification,1,1,0,1,1,1,0
gpt-4o-2024-08-06,contract_nli_explicit_identification,2,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_explicit_identification,3,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_explicit_identification,4,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_explicit_identification,5,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_explicit_identification,6,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_explicit_identification,7,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_explicit_identification,8,1,1,0,1,1,0
gpt-4o-2024-08-06,contract_nli_explicit_identification,9,1,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,10,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_explicit_identification,11,1,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,12,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_explicit_identification,13,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_explicit_identification,14,1,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,15,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_explicit_identification,16,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_explicit_identification,17,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_explicit_identification,18,1,0,0,0,0,0
gpt-4o-2024-08-06,contract_nli_explicit_identification,19,1,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_explicit_identification,20,0,1,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,21,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,22,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,23,0,1,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,24,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,25,0,1,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,26,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,27,0,1,0,1,1,0
gpt-4o-2024-08-06,contract_nli_explicit_identification,28,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,29,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,30,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,31,0,1,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,32,0,1,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,33,0,1,0,0,1,0
gpt-4o-2024-08-06,contract_nli_explicit_identification,34,0,1,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,35,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,36,0,1,0,1,1,0
gpt-4o-2024-08-06,contract_nli_explicit_identification,37,0,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_explicit_identification,38,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,39,0,1,1,1,1,0
gpt-4o-2024-08-06,contract_nli_explicit_identification,40,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,41,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,42,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,43,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,44,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,45,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,46,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,47,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,48,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,49,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,50,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,51,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,52,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,53,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,54,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,55,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,56,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,57,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,58,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,59,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,60,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,61,0,1,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,62,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,63,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,64,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,65,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,66,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,67,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,68,0,1,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,69,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,70,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,71,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,72,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,73,0,0,0,0,0,1
gpt-4o-2024-08-06,contract_nli_explicit_identification,74,0,0,0,0,0,1
