model,task,index,truth,neutral_prompt,yesno_prompt,agree_prompt,negated_agree_prompt,disagree_prompt
google/gemma-2-27b-it,cuad_non-compete,0,1,1,1,1,1,0
google/gemma-2-27b-it,cuad_non-compete,1,1,1,1,1,1,0
google/gemma-2-27b-it,cuad_non-compete,2,1,1,1,1,1,0
google/gemma-2-27b-it,cuad_non-compete,3,1,1,1,1,1,0
google/gemma-2-27b-it,cuad_non-compete,4,1,1,1,1,1,0
google/gemma-2-27b-it,cuad_non-compete,5,1,1,1,1,1,0
google/gemma-2-27b-it,cuad_non-compete,6,1,1,1,1,1,0
google/gemma-2-27b-it,cuad_non-compete,7,1,1,1,1,1,0
google/gemma-2-27b-it,cuad_non-compete,8,1,1,1,1,1,0
google/gemma-2-27b-it,cuad_non-compete,9,1,1,1,1,1,0
google/gemma-2-27b-it,cuad_non-compete,10,1,1,1,1,1,0
google/gemma-2-27b-it,cuad_non-compete,11,1,1,1,1,1,0
google/gemma-2-27b-it,cuad_non-compete,12,1,1,1,1,1,0
google/gemma-2-27b-it,cuad_non-compete,13,1,1,1,1,1,0
google/gemma-2-27b-it,cuad_non-compete,14,1,1,1,1,1,0
google/gemma-2-27b-it,cuad_non-compete,15,1,1,1,1,1,0
google/gemma-2-27b-it,cuad_non-compete,16,1,1,1,1,1,0
google/gemma-2-27b-it,cuad_non-compete,17,1,1,1,1,1,0
google/gemma-2-27b-it,cuad_non-compete,18,1,1,1,1,1,0
google/gemma-2-27b-it,cuad_non-compete,19,1,0,1,1,1,0
google/gemma-2-27b-it,cuad_non-compete,20,1,1,1,1,1,0
google/gemma-2-27b-it,cuad_non-compete,21,1,1,1,1,1,0
google/gemma-2-27b-it,cuad_non-compete,22,1,1,1,1,1,0
google/gemma-2-27b-it,cuad_non-compete,23,1,1,1,1,1,0
google/gemma-2-27b-it,cuad_non-compete,24,1,1,1,1,1,0
google/gemma-2-27b-it,cuad_non-compete,25,1,1,1,1,1,0
google/gemma-2-27b-it,cuad_non-compete,26,1,1,1,1,1,1
google/gemma-2-27b-it,cuad_non-compete,27,1,1,1,1,1,0
