model,task,index,truth,neutral_prompt,yesno_prompt,agree_prompt,negated_agree_prompt,disagree_prompt
mistralai/Mistral-Small-24B-Instruct-2501,cuad_cap_on_liability,0,1,1,0,0,0,1
mistralai/Mistral-Small-24B-Instruct-2501,cuad_cap_on_liability,1,1,1,0,0,0,0
mistralai/Mistral-Small-24B-Instruct-2501,cuad_cap_on_liability,2,1,1,0,0,0,1
mistralai/Mistral-Small-24B-Instruct-2501,cuad_cap_on_liability,3,1,1,0,0,0,1
mistralai/Mistral-Small-24B-Instruct-2501,cuad_cap_on_liability,4,1,1,0,0,0,1
mistralai/Mistral-Small-24B-Instruct-2501,cuad_cap_on_liability,5,1,1,0,0,0,1
mistralai/Mistral-Small-24B-Instruct-2501,cuad_cap_on_liability,6,1,1,1,1,1,1
mistralai/Mistral-Small-24B-Instruct-2501,cuad_cap_on_liability,7,1,1,0,0,0,1
mistralai/Mistral-Small-24B-Instruct-2501,cuad_cap_on_liability,8,1,1,1,1,1,1
mistralai/Mistral-Small-24B-Instruct-2501,cuad_cap_on_liability,9,1,1,0,0,0,1
mistralai/Mistral-Small-24B-Instruct-2501,cuad_cap_on_liability,10,1,1,0,0,1,1
mistralai/Mistral-Small-24B-Instruct-2501,cuad_cap_on_liability,11,1,1,1,1,1,1
mistralai/Mistral-Small-24B-Instruct-2501,cuad_cap_on_liability,12,1,1,1,1,1,1
mistralai/Mistral-Small-24B-Instruct-2501,cuad_cap_on_liability,13,1,1,0,0,0,0
mistralai/Mistral-Small-24B-Instruct-2501,cuad_cap_on_liability,14,1,1,0,0,0,1
mistralai/Mistral-Small-24B-Instruct-2501,cuad_cap_on_liability,15,1,1,0,0,0,1
mistralai/Mistral-Small-24B-Instruct-2501,cuad_cap_on_liability,16,1,1,0,0,0,1
mistralai/Mistral-Small-24B-Instruct-2501,cuad_cap_on_liability,17,1,1,0,0,0,1
mistralai/Mistral-Small-24B-Instruct-2501,cuad_cap_on_liability,18,1,1,1,1,1,1
mistralai/Mistral-Small-24B-Instruct-2501,cuad_cap_on_liability,19,1,1,0,0,1,1
