model,task,index,truth,neutral_prompt,yesno_prompt,agree_prompt,negated_agree_prompt,disagree_prompt
google/gemma-2-27b-it,hearsay,0,0,0,0,0,0,1
google/gemma-2-27b-it,hearsay,1,0,0,0,0,0,1
google/gemma-2-27b-it,hearsay,2,0,0,0,0,0,1
google/gemma-2-27b-it,hearsay,3,0,0,0,0,0,1
google/gemma-2-27b-it,hearsay,4,0,0,0,0,0,1
google/gemma-2-27b-it,hearsay,5,0,0,0,0,0,1
google/gemma-2-27b-it,hearsay,6,0,0,0,0,0,1
google/gemma-2-27b-it,hearsay,7,0,0,0,0,0,1
google/gemma-2-27b-it,hearsay,8,0,0,0,0,0,1
google/gemma-2-27b-it,hearsay,9,0,0,0,0,0,1
google/gemma-2-27b-it,hearsay,10,0,0,0,0,0,1
google/gemma-2-27b-it,hearsay,11,0,0,0,0,0,1
google/gemma-2-27b-it,hearsay,12,0,0,0,0,0,1
google/gemma-2-27b-it,hearsay,13,0,0,0,0,0,1
google/gemma-2-27b-it,hearsay,14,0,0,0,0,0,1
google/gemma-2-27b-it,hearsay,15,0,1,0,0,0,1
google/gemma-2-27b-it,hearsay,16,0,0,0,0,0,1
google/gemma-2-27b-it,hearsay,17,0,0,0,0,0,1
google/gemma-2-27b-it,hearsay,18,0,0,0,0,0,1
google/gemma-2-27b-it,hearsay,19,0,1,1,1,1,0
google/gemma-2-27b-it,hearsay,20,0,0,0,0,0,1
google/gemma-2-27b-it,hearsay,21,0,0,0,0,0,1
google/gemma-2-27b-it,hearsay,22,0,0,0,0,0,1
google/gemma-2-27b-it,hearsay,23,0,0,0,0,0,1
google/gemma-2-27b-it,hearsay,24,0,0,0,0,0,1
google/gemma-2-27b-it,hearsay,25,0,0,0,0,0,1
google/gemma-2-27b-it,hearsay,26,0,0,0,0,0,1
google/gemma-2-27b-it,hearsay,27,0,0,0,0,0,1
google/gemma-2-27b-it,hearsay,28,0,0,0,0,0,1
google/gemma-2-27b-it,hearsay,29,0,1,1,1,1,0
google/gemma-2-27b-it,hearsay,30,0,1,1,1,1,1
google/gemma-2-27b-it,hearsay,31,0,0,0,0,0,1
google/gemma-2-27b-it,hearsay,32,0,1,0,0,1,1
google/gemma-2-27b-it,hearsay,33,1,1,0,1,1,1
google/gemma-2-27b-it,hearsay,34,1,1,1,1,1,0
google/gemma-2-27b-it,hearsay,35,1,1,1,1,1,0
google/gemma-2-27b-it,hearsay,36,1,1,1,1,1,0
google/gemma-2-27b-it,hearsay,37,1,1,1,1,1,0
google/gemma-2-27b-it,hearsay,38,1,1,1,1,1,0
google/gemma-2-27b-it,hearsay,39,1,0,0,0,1,1
google/gemma-2-27b-it,hearsay,40,1,1,1,1,1,0
google/gemma-2-27b-it,hearsay,41,1,1,1,1,1,1
google/gemma-2-27b-it,hearsay,42,1,1,1,1,1,0
google/gemma-2-27b-it,hearsay,43,1,1,1,1,1,0
google/gemma-2-27b-it,hearsay,44,1,1,1,1,1,0
google/gemma-2-27b-it,hearsay,45,1,1,1,1,1,1
google/gemma-2-27b-it,hearsay,46,1,1,1,1,1,0
google/gemma-2-27b-it,hearsay,47,0,1,1,1,1,0
google/gemma-2-27b-it,hearsay,48,1,1,1,1,1,0
google/gemma-2-27b-it,hearsay,49,1,1,1,1,1,0
google/gemma-2-27b-it,hearsay,50,1,1,0,1,1,1
google/gemma-2-27b-it,hearsay,51,1,1,1,1,1,0
google/gemma-2-27b-it,hearsay,52,1,1,0,0,0,1
google/gemma-2-27b-it,hearsay,53,0,0,0,0,0,1
google/gemma-2-27b-it,hearsay,54,1,1,1,1,1,1
google/gemma-2-27b-it,hearsay,55,1,1,1,1,1,0
google/gemma-2-27b-it,hearsay,56,1,1,1,1,1,1
google/gemma-2-27b-it,hearsay,57,1,1,1,1,1,1
google/gemma-2-27b-it,hearsay,58,1,1,1,1,1,1
google/gemma-2-27b-it,hearsay,59,1,1,1,1,1,1
google/gemma-2-27b-it,hearsay,60,1,1,1,1,1,0
google/gemma-2-27b-it,hearsay,61,1,0,0,0,0,1
google/gemma-2-27b-it,hearsay,62,1,1,0,1,1,1
google/gemma-2-27b-it,hearsay,63,1,0,0,0,0,1
google/gemma-2-27b-it,hearsay,64,1,1,0,1,1,1
google/gemma-2-27b-it,hearsay,65,1,0,0,0,0,1
google/gemma-2-27b-it,hearsay,66,1,1,1,1,1,0
google/gemma-2-27b-it,hearsay,67,1,1,1,1,1,0
google/gemma-2-27b-it,hearsay,68,1,0,0,0,0,1
google/gemma-2-27b-it,hearsay,69,1,0,0,0,0,1
google/gemma-2-27b-it,hearsay,70,1,0,0,0,0,1
google/gemma-2-27b-it,hearsay,71,1,1,1,1,1,1
google/gemma-2-27b-it,hearsay,72,0,1,1,1,1,0
google/gemma-2-27b-it,hearsay,73,1,1,0,1,1,1
google/gemma-2-27b-it,hearsay,74,0,0,0,0,0,1
google/gemma-2-27b-it,hearsay,75,1,1,1,1,1,0
google/gemma-2-27b-it,hearsay,76,0,1,1,1,1,0
google/gemma-2-27b-it,hearsay,77,0,1,1,1,1,0
google/gemma-2-27b-it,hearsay,78,0,1,0,0,1,1
google/gemma-2-27b-it,hearsay,79,0,1,1,1,1,0
google/gemma-2-27b-it,hearsay,80,0,1,1,1,1,0
google/gemma-2-27b-it,hearsay,81,0,0,0,0,0,1
google/gemma-2-27b-it,hearsay,82,0,1,1,1,1,0
google/gemma-2-27b-it,hearsay,83,0,1,1,1,1,0
google/gemma-2-27b-it,hearsay,84,1,1,1,1,1,0
google/gemma-2-27b-it,hearsay,85,0,1,1,1,1,0
google/gemma-2-27b-it,hearsay,86,0,1,1,1,1,0
google/gemma-2-27b-it,hearsay,87,0,1,0,0,0,1
google/gemma-2-27b-it,hearsay,88,0,1,1,1,1,1
google/gemma-2-27b-it,hearsay,89,0,1,1,1,1,0
google/gemma-2-27b-it,hearsay,90,0,1,1,1,1,1
google/gemma-2-27b-it,hearsay,91,0,1,1,1,1,0
google/gemma-2-27b-it,hearsay,92,0,1,0,0,1,1
google/gemma-2-27b-it,hearsay,94,1,1,1,1,1,0
