model,task,index,truth,neutral_prompt,yesno_prompt,agree_prompt,negated_agree_prompt,disagree_prompt
meta-llama/Llama-3.1-8B-Instruct,hearsay,0,0,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,1,0,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,2,0,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,3,0,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,4,0,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,5,0,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,6,0,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,7,0,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,8,0,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,9,0,1,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,10,0,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,11,0,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,12,0,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,13,0,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,14,0,0,0,0,0,0
meta-llama/Llama-3.1-8B-Instruct,hearsay,15,0,0,0,0,0,0
meta-llama/Llama-3.1-8B-Instruct,hearsay,16,0,0,0,0,0,0
meta-llama/Llama-3.1-8B-Instruct,hearsay,17,0,0,0,0,0,0
meta-llama/Llama-3.1-8B-Instruct,hearsay,18,0,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,19,0,1,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,20,0,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,21,0,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,22,0,0,0,0,0,0
meta-llama/Llama-3.1-8B-Instruct,hearsay,23,0,1,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,24,0,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,25,0,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,26,0,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,27,0,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,28,0,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,29,0,1,0,0,1,0
meta-llama/Llama-3.1-8B-Instruct,hearsay,30,0,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,31,0,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,32,0,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,33,1,1,1,1,1,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,34,1,1,1,1,1,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,35,1,1,1,1,1,0
meta-llama/Llama-3.1-8B-Instruct,hearsay,36,1,1,0,0,1,0
meta-llama/Llama-3.1-8B-Instruct,hearsay,37,1,1,1,1,1,0
meta-llama/Llama-3.1-8B-Instruct,hearsay,38,1,1,1,1,1,0
meta-llama/Llama-3.1-8B-Instruct,hearsay,39,1,1,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,40,1,1,1,0,0,0
meta-llama/Llama-3.1-8B-Instruct,hearsay,41,1,1,1,1,1,0
meta-llama/Llama-3.1-8B-Instruct,hearsay,42,1,1,1,1,1,0
meta-llama/Llama-3.1-8B-Instruct,hearsay,43,1,1,1,1,0,0
meta-llama/Llama-3.1-8B-Instruct,hearsay,44,1,1,1,0,1,0
meta-llama/Llama-3.1-8B-Instruct,hearsay,45,1,1,0,0,1,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,46,1,1,1,1,0,0
meta-llama/Llama-3.1-8B-Instruct,hearsay,47,0,1,0,1,1,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,48,1,1,1,0,0,0
meta-llama/Llama-3.1-8B-Instruct,hearsay,49,1,1,1,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,50,1,1,0,0,1,0
meta-llama/Llama-3.1-8B-Instruct,hearsay,51,1,1,1,1,1,0
meta-llama/Llama-3.1-8B-Instruct,hearsay,52,1,1,0,1,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,53,0,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,54,1,1,1,1,1,0
meta-llama/Llama-3.1-8B-Instruct,hearsay,55,1,1,1,1,1,0
meta-llama/Llama-3.1-8B-Instruct,hearsay,56,1,1,1,1,1,0
meta-llama/Llama-3.1-8B-Instruct,hearsay,57,1,1,1,1,1,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,58,1,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,59,1,1,1,1,0,0
meta-llama/Llama-3.1-8B-Instruct,hearsay,60,1,1,1,1,1,0
meta-llama/Llama-3.1-8B-Instruct,hearsay,61,1,1,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,62,1,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,63,1,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,64,1,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,65,1,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,66,1,1,1,1,1,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,67,1,1,1,1,1,0
meta-llama/Llama-3.1-8B-Instruct,hearsay,68,1,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,69,1,0,0,0,0,0
meta-llama/Llama-3.1-8B-Instruct,hearsay,70,1,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,71,1,1,1,1,1,0
meta-llama/Llama-3.1-8B-Instruct,hearsay,72,0,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,73,1,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,74,0,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,75,1,0,0,1,0,0
meta-llama/Llama-3.1-8B-Instruct,hearsay,76,0,1,0,1,1,0
meta-llama/Llama-3.1-8B-Instruct,hearsay,77,0,1,1,1,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,78,0,1,0,0,1,0
meta-llama/Llama-3.1-8B-Instruct,hearsay,79,0,1,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,80,0,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,81,0,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,82,0,1,1,1,1,0
meta-llama/Llama-3.1-8B-Instruct,hearsay,83,0,1,0,0,1,1
meta-llama/Llama-3.1-8B-Instruct,hearsay,84,1,1,1,1,0,0
meta-llama/Llama-3.1-8B-Instruct,hearsay,85,0,1,1,1,1,0
meta-llama/Llama-3.1-8B-Instruct,hearsay,86,0,1,0,0,0,1
