model,task,index,truth,neutral_prompt,yesno_prompt,agree_prompt,negated_agree_prompt,disagree_prompt
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,0,1,1,1,1,1,0
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,1,1,0,0,1,1,1
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,2,1,0,1,1,1,0
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,3,1,0,0,0,0,0
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,4,1,1,1,1,1,0
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,5,1,0,1,1,1,0
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,6,1,0,1,1,1,1
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,7,1,0,1,1,1,1
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,8,1,0,1,1,1,0
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,9,1,0,0,1,0,0
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,10,1,1,0,1,1,1
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,11,1,0,1,1,1,0
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,12,1,1,1,1,1,0
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,13,1,0,1,1,1,0
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,14,1,0,1,1,1,1
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,15,1,0,0,1,1,0
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,16,1,1,1,1,1,0
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,17,1,0,1,1,1,0
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,18,1,0,1,1,0,0
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,19,1,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,20,1,0,0,1,1,1
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,21,1,0,0,0,0,0
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,22,1,0,1,1,1,1
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,23,1,0,0,1,1,1
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,24,1,0,0,1,0,0
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,25,1,0,0,1,1,0
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,26,1,0,1,1,1,0
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,27,1,0,1,1,0,1
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,28,1,0,1,1,1,1
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,29,1,0,1,1,1,0
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,30,1,1,1,1,1,0
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,31,1,0,0,1,1,0
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,32,1,0,1,1,1,0
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,33,1,0,0,0,0,0
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,34,1,0,0,1,0,0
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,35,1,0,0,0,0,1
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,36,1,0,0,1,1,1
meta-llama/Llama-3.1-8B-Instruct,cuad_anti-assignment,37,1,0,1,1,1,1
