model,task,index,truth,neutral_prompt,yesno_prompt,agree_prompt,negated_agree_prompt,disagree_prompt
mistralai/Mistral-Small-24B-Instruct-2501,cuad_no-solicit_of_customers,0,1,1,0,0,0,0
mistralai/Mistral-Small-24B-Instruct-2501,cuad_no-solicit_of_customers,1,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,cuad_no-solicit_of_customers,2,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,cuad_no-solicit_of_customers,3,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,cuad_no-solicit_of_customers,4,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,cuad_no-solicit_of_customers,5,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,cuad_no-solicit_of_customers,6,1,1,1,0,1,0
mistralai/Mistral-Small-24B-Instruct-2501,cuad_no-solicit_of_customers,7,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,cuad_no-solicit_of_customers,8,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,cuad_no-solicit_of_customers,9,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,cuad_no-solicit_of_customers,10,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,cuad_no-solicit_of_customers,11,1,1,1,0,0,0
mistralai/Mistral-Small-24B-Instruct-2501,cuad_no-solicit_of_customers,12,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,cuad_no-solicit_of_customers,13,1,1,1,0,1,0
mistralai/Mistral-Small-24B-Instruct-2501,cuad_no-solicit_of_customers,14,1,1,1,0,0,0
mistralai/Mistral-Small-24B-Instruct-2501,cuad_no-solicit_of_customers,15,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,cuad_no-solicit_of_customers,16,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,cuad_no-solicit_of_customers,17,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,cuad_no-solicit_of_customers,18,1,1,0,0,1,1
mistralai/Mistral-Small-24B-Instruct-2501,cuad_no-solicit_of_customers,19,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,cuad_no-solicit_of_customers,20,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,cuad_no-solicit_of_customers,21,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,cuad_no-solicit_of_customers,22,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,cuad_no-solicit_of_customers,23,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,cuad_no-solicit_of_customers,24,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,cuad_no-solicit_of_customers,25,1,1,1,1,1,0
