model,task,index,truth,neutral_prompt,yesno_prompt,agree_prompt,negated_agree_prompt,disagree_prompt
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,2732,0,1,0,0,0,1
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,43,0,0,0,0,0,1
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,1541,0,0,0,0,0,1
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,335,0,1,0,0,0,1
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,2051,0,1,1,0,0,0
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,1110,0,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,2786,0,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,3355,0,1,1,1,0,1
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,3307,0,1,0,0,0,0
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,181,0,1,0,0,0,0
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,414,0,0,0,0,0,1
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,878,0,1,0,0,0,0
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,2720,0,0,0,0,0,1
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,1272,0,1,0,0,0,0
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,3183,0,1,0,0,0,1
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,1894,0,1,0,0,0,1
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,1370,0,1,0,0,0,1
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,1357,0,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,3702,0,1,0,0,0,1
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,820,0,1,1,0,0,0
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,3646,0,0,0,0,0,1
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,2982,0,0,0,0,0,1
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,2085,0,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,1822,0,0,0,0,0,1
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,3564,0,1,1,0,1,1
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,3713,0,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,2056,0,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,3370,0,1,0,0,0,0
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,1652,0,1,0,0,0,1
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,2251,0,1,0,0,0,0
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,762,0,1,1,1,0,1
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,129,0,1,0,0,0,1
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,671,0,0,0,0,0,1
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,529,0,0,0,0,0,1
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,358,0,1,0,0,0,1
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,2428,0,1,1,0,0,1
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,2906,0,0,0,0,0,1
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,3600,0,1,0,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,agb-de,1228,0,1,0,0,0,1
