model,task,index,truth,neutral_prompt,yesno_prompt,agree_prompt,negated_agree_prompt,disagree_prompt
meta-llama/Llama-3.3-70B-Instruct,clauses-pl,0,0,0,0,0,0,1
meta-llama/Llama-3.3-70B-Instruct,clauses-pl,1,0,1,1,1,1,1
meta-llama/Llama-3.3-70B-Instruct,clauses-pl,2,0,1,1,1,1,1
meta-llama/Llama-3.3-70B-Instruct,clauses-pl,3,0,1,0,1,1,1
meta-llama/Llama-3.3-70B-Instruct,clauses-pl,4,0,1,1,1,1,1
meta-llama/Llama-3.3-70B-Instruct,clauses-pl,5,0,0,1,0,1,1
meta-llama/Llama-3.3-70B-Instruct,clauses-pl,6,0,1,0,1,1,1
meta-llama/Llama-3.3-70B-Instruct,clauses-pl,7,0,1,1,1,1,1
meta-llama/Llama-3.3-70B-Instruct,clauses-pl,8,0,1,1,1,0,0
meta-llama/Llama-3.3-70B-Instruct,clauses-pl,9,0,1,0,1,0,1
meta-llama/Llama-3.3-70B-Instruct,clauses-pl,10,0,1,0,1,1,1
meta-llama/Llama-3.3-70B-Instruct,clauses-pl,11,0,1,0,1,1,1
meta-llama/Llama-3.3-70B-Instruct,clauses-pl,12,0,1,1,1,1,1
meta-llama/Llama-3.3-70B-Instruct,clauses-pl,13,0,1,0,1,1,1
meta-llama/Llama-3.3-70B-Instruct,clauses-pl,14,0,1,1,1,1,1
meta-llama/Llama-3.3-70B-Instruct,clauses-pl,15,0,1,1,1,1,1
meta-llama/Llama-3.3-70B-Instruct,clauses-pl,16,0,1,1,1,1,1
meta-llama/Llama-3.3-70B-Instruct,clauses-pl,17,0,1,0,1,1,1
meta-llama/Llama-3.3-70B-Instruct,clauses-pl,18,0,0,0,0,0,1
meta-llama/Llama-3.3-70B-Instruct,clauses-pl,19,0,1,0,1,1,1
meta-llama/Llama-3.3-70B-Instruct,clauses-pl,20,0,1,1,1,1,1
meta-llama/Llama-3.3-70B-Instruct,clauses-pl,21,0,1,1,1,1,1
meta-llama/Llama-3.3-70B-Instruct,clauses-pl,22,0,1,0,1,0,1
meta-llama/Llama-3.3-70B-Instruct,clauses-pl,23,0,1,1,1,1,0
meta-llama/Llama-3.3-70B-Instruct,clauses-pl,24,0,1,1,1,1,0
meta-llama/Llama-3.3-70B-Instruct,clauses-pl,25,0,1,1,1,1,0
meta-llama/Llama-3.3-70B-Instruct,clauses-pl,26,0,1,1,1,1,0
meta-llama/Llama-3.3-70B-Instruct,clauses-pl,27,0,1,1,1,1,0
meta-llama/Llama-3.3-70B-Instruct,clauses-pl,28,0,1,1,1,1,1
meta-llama/Llama-3.3-70B-Instruct,clauses-pl,29,0,0,0,0,0,1
