model,task,index,truth,neutral_prompt,yesno_prompt,agree_prompt,negated_agree_prompt,disagree_prompt
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,0,0,1,1,0,0,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,1,0,0,1,0,0,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,2,0,0,0,0,0,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,3,0,0,0,0,0,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,4,0,1,0,1,0,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,5,0,0,0,0,0,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,6,0,0,0,0,0,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,7,0,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,8,0,0,0,0,0,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,9,0,1,1,0,0,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,10,0,0,0,0,0,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,11,0,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,12,0,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,13,0,0,0,0,0,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,14,0,0,0,0,0,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,15,0,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,16,0,0,0,0,0,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,17,0,1,0,0,0,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,18,0,1,0,0,0,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,19,0,0,0,0,0,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,20,0,0,0,0,0,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,21,0,0,0,0,0,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,22,0,0,0,0,0,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,23,0,1,1,0,0,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,24,0,0,0,0,0,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,25,0,0,0,0,0,1
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,26,0,0,0,0,0,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,27,0,0,0,1,0,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,28,0,1,0,0,1,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,29,0,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,30,0,1,0,1,0,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,31,0,0,0,0,0,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,32,0,1,0,0,0,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,33,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,34,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,35,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,36,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,37,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,38,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,39,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,40,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,41,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,42,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,43,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,44,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,45,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,46,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,47,0,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,48,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,49,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,50,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,51,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,52,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,53,0,1,0,1,0,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,54,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,55,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,56,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,57,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,58,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,59,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,60,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,61,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,62,1,0,0,0,0,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,63,1,1,1,1,1,0
mistralai/Mistral-Small-24B-Instruct-2501,hearsay,64,1,1,0,0,0,0
