model,task,index,truth,neutral_prompt,yesno_prompt,agree_prompt,negated_agree_prompt,disagree_prompt
gpt-4o-2024-08-06,hearsay,0,0,0,0,0,0,1
gpt-4o-2024-08-06,hearsay,1,0,0,0,0,0,1
gpt-4o-2024-08-06,hearsay,2,0,0,0,0,0,1
gpt-4o-2024-08-06,hearsay,3,0,0,0,0,0,1
gpt-4o-2024-08-06,hearsay,4,0,0,0,0,0,1
gpt-4o-2024-08-06,hearsay,5,0,0,0,0,0,1
gpt-4o-2024-08-06,hearsay,6,0,0,0,0,0,0
gpt-4o-2024-08-06,hearsay,7,0,0,0,0,0,1
gpt-4o-2024-08-06,hearsay,8,0,0,0,0,0,1
gpt-4o-2024-08-06,hearsay,9,0,0,0,0,0,1
gpt-4o-2024-08-06,hearsay,10,0,0,0,0,0,1
gpt-4o-2024-08-06,hearsay,11,0,0,0,0,0,1
gpt-4o-2024-08-06,hearsay,12,0,0,0,0,0,1
gpt-4o-2024-08-06,hearsay,13,0,0,0,0,0,1
gpt-4o-2024-08-06,hearsay,14,0,0,0,0,0,1
gpt-4o-2024-08-06,hearsay,15,0,0,0,0,0,1
gpt-4o-2024-08-06,hearsay,16,0,0,0,0,0,1
gpt-4o-2024-08-06,hearsay,17,0,0,0,0,0,1
gpt-4o-2024-08-06,hearsay,18,0,0,0,0,0,1
gpt-4o-2024-08-06,hearsay,19,0,0,0,0,0,1
gpt-4o-2024-08-06,hearsay,20,0,0,0,0,0,1
gpt-4o-2024-08-06,hearsay,21,0,0,0,0,0,1
gpt-4o-2024-08-06,hearsay,22,0,0,0,0,0,1
gpt-4o-2024-08-06,hearsay,23,0,1,1,1,1,0
gpt-4o-2024-08-06,hearsay,24,0,0,0,0,0,0
gpt-4o-2024-08-06,hearsay,25,0,0,0,0,0,1
gpt-4o-2024-08-06,hearsay,26,0,0,1,0,0,0
gpt-4o-2024-08-06,hearsay,27,0,0,0,0,0,1
gpt-4o-2024-08-06,hearsay,28,0,0,0,0,0,1
gpt-4o-2024-08-06,hearsay,29,0,0,0,0,0,1
gpt-4o-2024-08-06,hearsay,30,0,0,0,0,0,1
gpt-4o-2024-08-06,hearsay,31,0,0,0,0,0,1
gpt-4o-2024-08-06,hearsay,32,0,0,0,0,1,0
gpt-4o-2024-08-06,hearsay,33,1,1,1,1,1,0
gpt-4o-2024-08-06,hearsay,34,1,1,1,1,1,0
gpt-4o-2024-08-06,hearsay,35,1,1,1,1,1,1
gpt-4o-2024-08-06,hearsay,36,1,0,1,1,1,1
gpt-4o-2024-08-06,hearsay,37,1,1,1,1,1,0
gpt-4o-2024-08-06,hearsay,38,1,1,1,1,1,0
gpt-4o-2024-08-06,hearsay,39,1,0,0,0,0,1
gpt-4o-2024-08-06,hearsay,40,1,0,1,1,1,1
gpt-4o-2024-08-06,hearsay,41,1,1,1,1,1,0
gpt-4o-2024-08-06,hearsay,42,1,0,1,1,1,1
gpt-4o-2024-08-06,hearsay,43,1,1,1,1,1,0
gpt-4o-2024-08-06,hearsay,44,1,1,1,1,1,0
gpt-4o-2024-08-06,hearsay,45,1,1,1,1,1,0
gpt-4o-2024-08-06,hearsay,46,1,1,1,1,1,0
gpt-4o-2024-08-06,hearsay,47,0,0,0,1,1,1
gpt-4o-2024-08-06,hearsay,48,1,1,1,1,1,0
gpt-4o-2024-08-06,hearsay,49,1,1,1,1,1,1
